Species	Concentration	Concentration Rate (mol/(l*s))	Particle Number	Particle Number Rate (1/s)	Transition Time (s)
GLU	2.36333	-2.13959e-14	1.42323e+24	-1.28849e+10	0.0848229
G6P	0.122478	-1.55454e-14	7.3758e+22	-9.36169e+09	0.00439589
F6P	0.0348615	3.01577e-11	2.09941e+22	1.81614e+13	0.00127369
FBP	0.392508	-3.01826e-11	2.36374e+23	-1.81764e+13	0.0144441
DHAP	0.0199627	3.62448e-14	1.20218e+22	2.18272e+10	0.000734758
GAP	0.000828675	7.31583e-14	4.9904e+20	4.4057e+10	1.53158e-05
BPG	0.0152522	-5.42474e-13	9.18512e+21	-3.26686e+11	0.000282332
PG3	0.757158	4.92105e-13	4.55971e+23	2.96353e+11	0.0140158
PG2	0.0430161	-2.13959e-14	2.59049e+22	-1.28849e+10	0.000804793
PEP	0.232146	3.56598e-14	1.39802e+23	2.14748e+10	0.00434324
PYR	0.416193	-7.13196e-15	2.50637e+23	-4.29497e+09	0.00778659
LAC	15.0336	-2.13959e-14	9.05347e+24	-1.28849e+10	0.319521
ATP	2.92174	-0.000178592	1.75952e+24	-1.07551e+20	0.0183237
ADP	0.0934989	-3.0696e-11	5.63063e+22	-1.84855e+13	0.000586377
AMP	0.00299191	0.000178592	1.80177e+21	1.07551e+20	16.7528
P	5.50018	6.5614e-13	3.31228e+24	3.95137e+11	0.0518874
NADH	0.00319556	-4.27918e-14	1.92441e+21	-2.57698e+10	5.91525e-05
NAD	0.546534	4.27918e-14	3.29131e+23	2.57698e+10	0.0101168
O2	0.0671147	-6.46334e-15	4.04174e+22	-3.89231e+09	0.00602834