Reaction	Flux	Flux (intensive) (mol/(l*s))	Particle Flux (#/s)
GLUT	27.862	nan	1.67789e+25
HK	27.862	nan	1.67789e+25
HPI	27.3704	27.3704	1.64828e+25
PFK	27.1743	nan	1.63647e+25
ALD	27.1691	27.1691	1.63616e+25
TPI	26.9366	26.9366	1.62216e+25
GAPDH	54.0224	nan	3.25331e+25
PGK	54.0216	54.0216	3.25326e+25
PGM	53.45	53.45	3.21883e+25
ENO	53.45	53.45	3.21883e+25
PK	53.45	53.45	3.21883e+25
LDH	47.0506	47.0506	2.83345e+25
LACT	47.0506	nan	2.83345e+25
OXPHOS	3.52406	3.52406	2.12224e+24
ATPase	29.4613	nan	1.7742e+25
OXYT	11.1332	nan	6.70457e+24
Growth	0.0119061	0.0119061	7.17004e+21
AK	-0.000178592	-0.000178592	-1.07551e+20